index,reference,lut_real,fast_real,exact_int
0,0.00000000072759576,0.001953125,0.003906250,0
1,42.00000000075669959,42.003906250,42.007812500,42
2,53.00000000074578566,53.003906250,53.005859375,53
3,84.00000000076397555,84.001953125,84.001953125,84
4,101.00000000074942363,100.998046875,101.000000000,101
5,79.00000000075669959,79.001953125,79.003906250,79
6,148.00000000074578566,148.001953125,148.005859375,148
7,167.00000000075669959,167.000000000,166.998046875,167
8,193.00000000073487172,193.001953125,193.001953125,193
9,187.00000000074942363,187.003906250,187.005859375,187
10,229.00000000073487172,229.003906250,229.000000000,229
11,178.00000000075669959,178.001953125,178.003906250,178
12,244.00000000073487172,243.998046875,244.001953125,244
13,343.00000000075306161,343.005859375,343.009765625,343
14,330.00000000073123374,330.001953125,330.005859375,330
15,375.00000000074942363,374.998046875,375.003906250,375
16,437.00000000073123374,437.003906250,437.005859375,437
17,489.00000000074942363,489.001953125,489.005859375,489
18,435.00000000072759576,435.003906250,435.005859375,435
19,463.00000000076033757,463.003906250,463.007812500,463
20,478.00000000074578566,477.994140625,477.998046875,478
21,480.00000000074942363,480.003906250,480.011718750,480
22,540.00000000073850970,540.003906250,540.007812500,540
23,541.00000000075306161,541.000000000,541.005859375,541
24,576.00000000071668182,576.001953125,576.005859375,576
25,607.00000000074942363,607.000000000,607.009765625,607
26,617.00000000072759576,617.003906250,617.007812500,617
27,631.00000000074214768,631.001953125,631.007812500,631
28,625.00000000072031980,624.998046875,625.001953125,625
29,793.00000000073123374,793.005859375,793.011718750,793
30,604.00000000072395778,604.001953125,604.007812500,604
31,673.00000000074578566,672.998046875,673.003906250,673
32,728.00000000073123374,728.003906250,728.007812500,728
33,650.00000000076397555,650.003906250,650.009765625,650
34,757.00000000074214768,757.007812500,757.005859375,757
35,733.00000000076033757,733.001953125,733.005859375,733
36,784.00000000074214768,784.000000000,784.003906250,784
37,751.00000000075669959,751.001953125,751.011718750,751
38,849.00000000073850970,849.001953125,849.011718750,849
39,832.00000000076397555,832.000000000,832.009765625,832
40,948.00000000074578566,948.001953125,948.003906250,948
41,914.00000000075306161,914.005859375,914.011718750,914
42,925.00000000073850970,925.007812500,925.009765625,925
43,971.00000000076033757,971.001953125,971.013671875,971
44,937.00000000075306161,937.000000000,937.001953125,937
45,1075.00000000074578566,1075.003906250,1075.011718750,1075
46,1032.00000000074214768,1032.003906250,1032.011718750,1032
47,1088.00000000075306161,1088.001953125,1088.005859375,1088
48,1176.00000000073123374,1176.000000000,1176.007812500,1176
49,1152.00000000076033757,1152.001953125,1152.007812500,1152
50,1255.00000000073487172,1255.007812500,1255.009765625,1255
51,1232.00000000075669959,1232.001953125,1232.007812500,1232
52,1229.00000000074942363,1229.000000000,1229.003906250,1229
53,1279.00000000074578566,1279.003906250,1279.011718750,1279
54,1287.00000000073123374,1287.000000000,1287.009765625,1287
55,1363.00000000074578566,1363.001953125,1363.005859375,1363
56,1318.00000000073123374,1318.001953125,1318.009765625,1318
57,1375.00000000074942363,1375.001953125,1375.011718750,1375
58,1372.00000000073123374,1372.003906250,1372.009765625,1372
59,1440.00000000075306161,1440.000000000,1440.005859375,1440
60,1371.00000000073487172,1371.001953125,1371.005859375,1371
61,1528.00000000073850970,1528.005859375,1528.011718750,1528
62,1499.00000000073487172,1499.001953125,1499.011718750,1499
63,1495.00000000074942363,1495.000000000,1495.003906250,1495
64,1489.00000000073123374,1489.003906250,1489.003906250,1489
65,1567.00000000077488949,1567.003906250,1567.013671875,1567
66,1533.00000000075306161,1533.003906250,1533.011718750,1533
67,1558.00000000077488949,1558.000000000,1558.009765625,1558
68,1553.00000000075306161,1552.998046875,1553.001953125,1553
69,1532.00000000076033757,1532.001953125,1532.009765625,1532
70,1590.00000000075669959,1590.000000000,1590.007812500,1590
71,1652.00000000077125151,1652.000000000,1652.005859375,1652
72,1692.00000000074942363,1692.003906250,1692.005859375,1692
73,1666.00000000075669959,1666.003906250,1666.003906250,1666
74,1655.00000000074214768,1655.003906250,1655.007812500,1655
75,1785.00000000077125151,1785.001953125,1785.007812500,1785
76,1758.00000000074214768,1758.000000000,1758.001953125,1758
77,1885.00000000075306161,1885.005859375,1885.013671875,1885
