digits,mode,count,mean_abs_error,max_abs_error,mean_rel_error,max_rel_error,error_rate,max_digit_error
2048,lut,4096,0.0013897418828059394,0.0078125,4.366731902843334e-07,0.00015625,0.0,0
8192,lut,16384,0.011315584182739258,0.0546875,1.3846705908558407e-06,0.001953125,0.0,0
2048,fast,4096,0.00896191597192475,0.01953125,1.1126775707937073e-06,0.000234375,0.0,0
8192,fast,16384,0.05106472969055176,0.12109375,2.7218645619328973e-06,0.001953125,0.0,0
