digits,mode,mean_abs_error,max_abs_error,max_rel_error
2048,lut,0.00138974199242892,0.00781249926512828,1953124.27240423834882677
2048,fast,0.00896191597053253,0.01953124999636202,3906249.27240423811599612
8192,lut,0.01131559590359643,0.05468753377499525,404271.26506024098489434
8192,fast,0.05106473552606516,0.12109375958243618,606406.39759036141913384
