x_center,weight,fast_sin,fast_cos,std_sin,std_cos
-3.066427595,3.067970276e-03,8.085982807e+00,9.787256043e-01,3.194110259e-01,2.500309564e-01
-3.063359633,3.067970276e-03,1.701711785e+01,6.036612246e-01,3.193925994e-01,2.500460769e-01
-3.060291672,3.067970276e-03,1.978396358e+01,3.210442119e-01,3.191887326e-01,2.500485665e-01
-3.057223710,3.067970276e-03,1.521039007e+01,2.763597858e-01,3.187700626e-01,2.499965159e-01
-3.054155749,3.067970276e-03,8.453790980e+00,3.337849227e-01,3.182043324e-01,2.500484215e-01
-3.051087787,3.067970276e-03,6.414488167e+00,2.981637470e-01,3.184113567e-01,2.500918307e-01
-3.048019826,3.067970276e-03,7.048810398e+00,3.507209352e-01,3.178707619e-01,2.500407769e-01
-3.044951864,3.067970276e-03,6.583489218e+00,8.391559163e-01,3.178524552e-01,2.500451975e-01
-3.041883902,3.067970276e-03,7.361219413e+00,1.485883295e+00,3.179186784e-01,2.503327714e-01
-3.038815941,3.067970276e-03,6.284856838e+00,5.928461367e-01,3.181986689e-01,2.500926270e-01
-3.035747979,3.067970276e-03,6.428919735e+00,3.647620268e-01,3.172383308e-01,2.501338091e-01
-3.032680018,3.067970276e-03,8.585486411e+00,7.815787536e-01,3.176445771e-01,2.501282530e-01
-3.029612056,3.067970276e-03,1.307263062e+01,1.188824513e+00,3.167011127e-01,2.501574707e-01
-3.026544094,3.067731857e-03,1.437673444e+01,1.117103815e+00,3.163061733e-01,2.501462420e-01
-3.023476133,3.067970276e-03,9.166333359e+00,7.483446534e-01,3.163109852e-01,2.501169690e-01
-3.020408171,3.067970276e-03,1.230753260e+01,4.225267347e-01,3.163025215e-01,2.501309429e-01
-3.017340210,3.067970276e-03,6.996761563e+00,4.286586444e-01,3.074421299e-01,2.501712405e-01
-3.014272248,3.067970276e-03,7.289815419e+00,1.037166270e+00,2.664399743e-01,2.501843612e-01
-3.011204287,3.067970276e-03,7.861995710e+00,1.511724434e+00,2.666096384e-01,2.501855611e-01
-3.008136325,3.067970276e-03,5.312157727e+00,1.737961378e+00,2.659346410e-01,2.502094024e-01
-3.005068363,3.067970276e-03,3.298465311e+00,1.556196455e+00,2.661176842e-01,2.503072837e-01
-3.002000402,3.067970276e-03,3.835442815e+00,1.330434048e+00,2.662727324e-01,2.501671028e-01
-2.998932440,3.067970276e-03,4.579374683e+00,9.021783744e-01,2.659433607e-01,2.504264875e-01
-2.995864479,3.067970276e-03,3.481500493e+00,5.120969046e-01,2.660910598e-01,2.503268426e-01
-2.992796517,3.067970276e-03,4.311339064e+00,7.751962766e-01,2.658415849e-01,2.502965141e-01
-2.989728556,3.067970276e-03,4.265818525e+00,1.063715167e+00,2.655129354e-01,2.499608378e-01
-2.986660594,3.067970276e-03,5.103529330e+00,1.077943579e+00,2.654846033e-01,2.503720985e-01
-2.983592632,3.067970276e-03,4.050171162e+00,1.008898789e+00,2.651171996e-01,2.504208792e-01
-2.980524671,3.067970276e-03,3.179421978e+00,7.276726181e-01,2.653909955e-01,2.503398140e-01
-2.977456709,3.067970276e-03,3.276964557e+00,5.999970787e-01,2.654795708e-01,2.504134038e-01
-2.974388748,3.067970276e-03,3.204020787e+00,4.993707327e-01,2.652426029e-01,2.496123047e-01
-2.971320786,3.067970276e-03,5.265526782e+00,6.015286881e-01,2.654062466e-01,2.504939906e-01
-2.968252825,3.067970276e-03,3.548001502e+00,1.581475123e+00,2.651239934e-01,2.505179260e-01
-2.965184863,3.067970276e-03,3.124342902e+00,1.649429910e+00,2.662001271e-01,2.506225425e-01
-2.962116901,3.067970276e-03,3.192735051e+00,1.424965127e+00,2.649381686e-01,2.505689663e-01
-2.959048940,3.067970276e-03,4.352080415e+00,1.153145093e+00,2.649069384e-01,2.506498033e-01
-2.955980978,3.067970276e-03,6.783738599e+00,6.953112363e-01,2.649323218e-01,2.507243298e-01
-2.952913017,3.067970276e-03,7.561716700e+00,4.676986248e-01,2.652114408e-01,2.507499320e-01
-2.949845055,3.067970276e-03,4.918877481e+00,3.512056470e-01,2.646349399e-01,2.508571715e-01
-2.946777094,3.067970276e-03,5.670785650e+00,4.101043492e-01,2.645734362e-01,2.508834463e-01
-2.943709132,3.067731857e-03,3.828867669e+00,1.368746965e+00,2.646321186e-01,2.509726665e-01
-2.940641170,3.067970276e-03,4.905046138e+00,1.466223175e+00,2.645104594e-01,2.510116092e-01
-2.937573209,3.067970276e-03,5.704656773e+00,1.247187861e+00,2.669267549e-01,2.510446578e-01
-2.934505247,3.067970276e-03,4.298512837e+00,9.743017196e-01,2.643255329e-01,2.509427682e-01
-2.931437286,3.067970276e-03,3.169997965e+00,5.344355988e-01,2.644978038e-01,2.511096153e-01
-2.928369324,3.067970276e-03,3.304069692e+00,3.666118972e-01,2.642691051e-01,2.511459562e-01
-2.925301362,3.067970276e-03,3.256168233e+00,3.156416311e-01,2.641592439e-01,2.511273152e-01
-2.922233401,3.067970276e-03,4.600331644e+00,3.832960363e-01,2.643768431e-01,2.512361358e-01
-2.919165439,3.067970276e-03,3.973548023e+00,3.489622106e-01,2.642793532e-01,2.512745218e-01
-2.916097478,3.067970276e-03,7.173852405e+00,3.518402906e-01,2.639459990e-01,2.513493408e-01
-2.913029516,3.067970276e-03,7.083931612e+00,3.562202615e-01,2.640804369e-01,2.515782635e-01
-2.909961555,3.067970276e-03,4.612017371e+00,3.744847839e-01,2.642470271e-01,2.513327588e-01
-2.906893593,3.067970276e-03,3.158416726e+00,3.627758600e-01,2.640532204e-01,2.517304094e-01
-2.903825631,3.067970276e-03,3.739067662e+00,5.207242216e-01,2.638348056e-01,2.517353099e-01
-2.900757670,3.067970276e-03,3.867369702e+00,9.431357037e-01,2.640728578e-01,2.518524341e-01
-2.897689708,3.067970276e-03,3.602885622e+00,1.876629537e+00,2.642752324e-01,2.518729460e-01
-2.894621747,3.067970276e-03,3.663765382e+00,8.853555420e-01,2.639431282e-01,2.518594140e-01
-2.891553785,3.067970276e-03,6.058175143e+00,1.685401853e+00,2.641171843e-01,2.527603133e-01
-2.888485824,3.067970276e-03,3.850049850e+00,1.936143711e+00,2.572503253e-01,2.652578352e-01
-2.885417862,3.067970276e-03,1.756546303e+00,1.879336423e+00,2.535878287e-01,2.525549750e-01
