x,x_over_pi,native_sin,ref,abs_err
np.float32(102948.07),32769.388544,np.float32(0.8778144),np.float64(-0.9393215040547407),1.817136e+00
np.float32(102948.08),32769.391031,np.float32(0.87404543),np.float64(-0.9419727959808514),1.816018e+00
np.float32(102948.086),32769.393518,np.float32(0.87022316),np.float64(-0.9445665947426024),1.814790e+00
np.float32(102948.09),32769.396004,np.float32(0.86634773),np.float64(-0.9471027420278862),1.813450e+00
np.float32(102948.1),32769.398491,np.float32(0.8624195),np.float64(-0.9495810830433444),1.812001e+00
np.float32(102948.11),32769.400978,np.float32(0.85843855),np.float64(-0.9520014665238152),1.810440e+00
np.float32(102948.12),32769.403465,np.float32(0.8544052),np.float64(-0.954363744741566),1.808769e+00
np.float32(102948.125),32769.405952,np.float32(0.85031974),np.float64(-0.9566677735153101),1.806988e+00
np.float32(102948.13),32769.408438,np.float32(0.8461824),np.float64(-0.9589134122190064),1.805096e+00
np.float32(102948.14),32769.410925,np.float32(0.8419934),np.float64(-0.9611005237904431),1.803094e+00
np.float32(102948.15),32769.413412,np.float32(0.837753),np.float64(-0.9632289747396025),1.800982e+00
np.float32(102948.16),32769.415899,np.float32(0.83346146),np.float64(-0.9652986351568091),1.798760e+00
np.float32(102948.164),32769.418386,np.float32(0.8291191),np.float64(-0.9673093787206587),1.796428e+00
np.float32(102948.17),32769.420872,np.float32(0.82472605),np.float64(-0.9692610827057276),1.793987e+00
np.float32(102948.18),32769.423359,np.float32(0.8202827),np.float64(-0.9711536279900641),1.791436e+00
np.float32(102948.19),32769.425846,np.float32(0.8157893),np.float64(-0.9729868990624587),1.788776e+00
np.float32(102948.195),32769.428333,np.float32(0.8112461),np.float64(-0.9747607840294942),1.786007e+00
np.float32(102948.2),32769.430820,np.float32(0.8066534),np.float64(-0.9764751746223749),1.783129e+00
np.float32(102948.21),32769.433306,np.float32(0.80201143),np.float64(-0.9781299662035354),1.780141e+00
np.float32(102948.22),32769.435793,np.float32(0.79732054),np.float64(-0.9797250577730269),1.777046e+00
np.float32(102948.23),32769.438280,np.float32(0.79258096),np.float64(-0.9812603519746812),1.773841e+00
np.float32(102948.234),32769.440767,np.float32(0.78779304),np.float64(-0.9827357551020535),1.770529e+00
np.float32(102948.24),32769.443254,np.float32(0.782957),np.float64(-0.9841511771041414),1.767108e+00
np.float32(102948.25),32769.445740,np.float32(0.7780732),np.float64(-0.9855065315908812),1.763580e+00
np.float32(102948.26),32769.448227,np.float32(0.77314186),np.float64(-0.9868017358384208),1.759944e+00
np.float32(102948.266),32769.450714,np.float32(0.7681634),np.float64(-0.9880367107941687),1.756200e+00
np.float32(102948.27),32769.453201,np.float32(0.763138),np.float64(-0.9892113810816189),1.752349e+00
np.float32(102948.28),32769.455688,np.float32(0.75806606),np.float64(-0.9903256750049515),1.748392e+00
np.float32(102948.29),32769.458174,np.float32(0.75294787),np.float64(-0.9913795245534087),1.744327e+00
np.float32(102948.3),32769.460661,np.float32(0.74778366),np.float64(-0.9923728654054459),1.740157e+00
np.float32(102948.305),32769.463148,np.float32(0.74257386),np.float64(-0.9933056369326572),1.735879e+00
np.float32(102948.31),32769.465635,np.float32(0.7373187),np.float64(-0.9941777822034763),1.731496e+00
np.float32(102948.32),32769.468121,np.float32(0.73201853),np.float64(-0.9949892479866512),1.727008e+00
np.float32(102948.33),32769.470608,np.float32(0.7266737),np.float64(-0.9957399847544929),1.722414e+00
np.float32(102948.336),32769.473095,np.float32(0.72128457),np.float64(-0.9964299466858983),1.717715e+00
np.float32(102948.34),32769.475582,np.float32(0.71585137),np.float64(-0.9970590916691476),1.712910e+00
np.float32(102948.35),32769.478069,np.float32(0.7103745),np.float64(-0.9976273813044736),1.708002e+00
np.float32(102948.36),32769.480555,np.float32(0.70485425),np.float64(-0.9981347809064062),1.702989e+00
np.float32(102948.37),32769.483042,np.float32(0.69929093),np.float64(-0.9985812595058886),1.697872e+00
np.float32(102948.375),32769.485529,np.float32(0.693685),np.float64(-0.9989667898521687),1.692652e+00
np.float32(102948.38),32769.488016,np.float32(0.68803674),np.float64(-0.999291348414461),1.687328e+00
np.float32(102948.39),32769.490503,np.float32(0.68234646),np.float64(-0.9995549153833838),1.681901e+00
np.float32(102948.4),32769.492989,np.float32(0.6766145),np.float64(-0.9997574746721678),1.676372e+00
np.float32(102948.41),32769.495476,np.float32(0.6708413),np.float64(-0.9998990139176379),1.670740e+00
np.float32(102948.414),32769.497963,np.float32(0.66502714),np.float64(-0.9999795244809684),1.665007e+00
np.float32(102948.42),32769.500450,np.float32(0.65917236),np.float64(-0.9999990014482091),1.659171e+00
np.float32(102948.43),32769.502937,np.float32(0.65327734),np.float64(-0.9999574436305866),1.653235e+00
np.float32(102948.44),32769.505423,np.float32(0.6473425),np.float64(-0.9998548535645756),1.647197e+00
np.float32(102948.445),32769.507910,np.float32(0.64136815),np.float64(-0.9996912375117453),1.641059e+00
np.float32(102948.45),32769.510397,np.float32(0.6353546),np.float64(-0.9994666054583761),1.634821e+00
np.float32(102948.46),32769.512884,np.float32(0.6293023),np.float64(-0.9991809711148506),1.628483e+00
np.float32(102948.47),32769.515371,np.float32(0.62321156),np.float64(-0.9988343519148171),1.622046e+00
np.float32(102948.48),32769.517857,np.float32(0.61708283),np.float64(-0.998426769014125),1.615510e+00
np.float32(102948.484),32769.520344,np.float32(0.61091644),np.float64(-0.9979582472895338),1.608875e+00
np.float32(102948.49),32769.522831,np.float32(0.6047127),np.float64(-0.9974288153371946),1.602142e+00
np.float32(102948.5),32769.525318,np.float32(0.5984721),np.float64(-0.9968385054709051),1.595311e+00
np.float32(102948.51),32769.527805,np.float32(0.592195),np.float64(-0.996187353720137),1.588382e+00
np.float32(102948.516),32769.530291,np.float32(0.5858817),np.float64(-0.9954753998278368),1.581357e+00
np.float32(102948.52),32769.532778,np.float32(0.5795327),np.float64(-0.9947026872480008),1.574235e+00
np.float32(102948.53),32769.535265,np.float32(0.57314825),np.float64(-0.993869263143022),1.567018e+00
np.float32(102948.54),32769.537752,np.float32(0.5667289),np.float64(-0.9929751783808123),1.559704e+00
np.float32(102948.55),32769.540239,np.float32(0.5602749),np.float64(-0.9920204875316971),1.552295e+00
np.float32(102948.555),32769.542725,np.float32(0.5537867),np.float64(-0.9910052488650853),1.544792e+00
np.float32(102948.56),32769.545212,np.float32(0.5472647),np.float64(-0.9899295243459124),1.537194e+00
np.float32(102948.57),32769.547699,np.float32(0.5407093),np.float64(-0.9887933796308584),1.529503e+00
np.float32(102948.58),32769.550186,np.float32(0.534121),np.float64(-0.987596884064341),1.521718e+00
np.float32(102948.586),32769.552673,np.float32(0.5275),np.float64(-0.9863401106742824),1.513840e+00
np.float32(102948.59),32769.555159,np.float32(0.5208468),np.float64(-0.9850231361676529),1.505870e+00
np.float32(102948.6),32769.557646,np.float32(0.5141618),np.float64(-0.9836460409257883),1.497808e+00
np.float32(102948.61),32769.560133,np.float32(0.50744545),np.float64(-0.9822089089994844),1.489654e+00
np.float32(102948.62),32769.562620,np.float32(0.50069815),np.float64(-0.9807118281038668),1.481410e+00
np.float32(102948.625),32769.565107,np.float32(0.49392027),np.float64(-0.979154889613037),1.473075e+00
np.float32(102948.63),32769.567593,np.float32(0.48711225),np.float64(-0.9775381885544957),1.464650e+00
np.float32(102948.64),32769.570080,np.float32(0.48027447),np.float64(-0.975861823603343),1.456136e+00
np.float32(102948.65),32769.572567,np.float32(0.47340742),np.float64(-0.9741258970762549),1.447533e+00
np.float32(102948.66),32769.575054,np.float32(0.46651143),np.float64(-0.9723305149252395),1.438842e+00
np.float32(102948.664),32769.577541,np.float32(0.459587),np.float64(-0.9704757867311694),1.430063e+00
np.float32(102948.67),32769.580027,np.float32(0.4526345),np.float64(-0.9685618256970941),1.421196e+00
np.float32(102948.68),32769.582514,np.float32(0.4456544),np.float64(-0.9665887486413302),1.412243e+00
np.float32(102948.69),32769.585001,np.float32(0.43864706),np.float64(-0.9645566759903315),1.403204e+00
np.float32(102948.695),32769.587488,np.float32(0.43161297),np.float64(-0.9624657317713389),1.394079e+00
np.float32(102948.7),32769.589974,np.float32(0.42455253),np.float64(-0.9603160436048105),1.384869e+00
np.float32(102948.71),32769.592461,np.float32(0.4174662),np.float64(-0.9581077426966319),1.375574e+00
np.float32(102948.72),32769.594948,np.float32(0.41035438),np.float64(-0.9558409638301087),1.366195e+00
np.float32(102948.73),32769.597435,np.float32(0.4032175),np.float64(-0.9535158453577396),1.356733e+00
np.float32(102948.734),32769.599922,np.float32(0.396056),np.float64(-0.9511325291927718),1.347189e+00
np.float32(102948.74),32769.602408,np.float32(0.38887036),np.float64(-0.9486911608005401),1.337562e+00
np.float32(102948.75),32769.604895,np.float32(0.38166094),np.float64(-0.9461918891895879),1.327853e+00
np.float32(102948.76),32769.607382,np.float32(0.37442827),np.float64(-0.9436348669025725),1.318063e+00
np.float32(102948.766),32769.609869,np.float32(0.36717272),np.float64(-0.9410202500069549),1.308193e+00
np.float32(102948.77),32769.612356,np.float32(0.35989478),np.float64(-0.9383481980854743),1.298243e+00
np.float32(102948.78),32769.614842,np.float32(0.35259485),np.float64(-0.9356188742264077),1.288214e+00
np.float32(102948.79),32769.617329,np.float32(0.34527344),np.float64(-0.932832445013616),1.278106e+00
np.float32(102948.8),32769.619816,np.float32(0.33793092),np.float64(-0.9299890805163765),1.267920e+00
np.float32(102948.805),32769.622303,np.float32(0.3305678),np.float64(-0.9270889542790028),1.257657e+00
np.float32(102948.81),32769.624790,np.float32(0.32318446),np.float64(-0.9241322433102529),1.247317e+00
np.float32(102948.82),32769.627276,np.float32(0.31578144),np.float64(-0.9211191280725247),1.236901e+00
np.float32(102948.83),32769.629763,np.float32(0.30835915),np.float64(-0.9180497924708422),1.226409e+00
np.float32(102948.836),32769.632250,np.float32(0.300918),np.float64(-0.9149244238416304),1.215842e+00
np.float32(102948.84),32769.634737,np.float32(0.2934585),np.float64(-0.9117432129412819),1.205202e+00
np.float32(102948.85),32769.637224,np.float32(0.28598112),np.float64(-0.9085063539345135),1.194487e+00
np.float32(102948.86),32769.639710,np.float32(0.27848622),np.float64(-0.9052140443825154),1.183700e+00
np.float32(102948.87),32769.642197,np.float32(0.27097437),np.float64(-0.9018664852308936),1.172841e+00
np.float32(102948.875),32769.644684,np.float32(0.26344594),np.float64(-0.8984638807974048),1.161910e+00
np.float32(102948.88),32769.647171,np.float32(0.25590152),np.float64(-0.8950064387594858),1.150908e+00
np.float32(102948.89),32769.649658,np.float32(0.2483414),np.float64(-0.8914943701415784),1.139836e+00
np.float32(102948.9),32769.652144,np.float32(0.24076612),np.float64(-0.8879278893022491),1.128694e+00
np.float32(102948.91),32769.654631,np.float32(0.23317616),np.float64(-0.884307213921106),1.117483e+00
np.float32(102948.914),32769.657118,np.float32(0.22557199),np.float64(-0.8806325649855128),1.106205e+00
np.float32(102948.92),32769.659605,np.float32(0.21795404),np.float64(-0.8769041667771007),1.094858e+00
np.float32(102948.93),32769.662092,np.float32(0.2103228),np.float64(-0.8731222468580794),1.083445e+00
np.float32(102948.94),32769.664578,np.float32(0.20267871),np.float64(-0.8692870360573479),1.071966e+00
np.float32(102948.945),32769.667065,np.float32(0.19502224),np.float64(-0.8653987684564063),1.060421e+00
np.float32(102948.95),32769.669552,np.float32(0.18735386),np.float64(-0.8614576813750681),1.048812e+00
np.float32(102948.96),32769.672039,np.float32(0.17967406),np.float64(-0.8574640153569754),1.037138e+00
np.float32(102948.97),32769.674526,np.float32(0.1719833),np.float64(-0.8534180141549179),1.025401e+00
np.float32(102948.98),32769.677012,np.float32(0.16428205),np.float64(-0.8493199247159553),1.013602e+00
np.float32(102948.984),32769.679499,np.float32(0.15657075),np.float64(-0.8451699971663444),1.001741e+00
np.float32(102948.99),32769.681986,np.float32(0.14884992),np.float64(-0.8409684847962735),9.898184e-01
np.float32(102949.0),32769.684473,np.float32(0.14111997),np.float64(-0.8367156440444021),9.778356e-01
np.float32(102949.01),32769.686960,np.float32(0.13338144),np.float64(-0.8324117344822098),9.657932e-01
np.float32(102949.016),32769.689446,np.float32(0.12563476),np.float64(-0.8280570187981533),9.536918e-01
np.float32(102949.02),32769.691933,np.float32(0.1178804),np.float64(-0.8236517627816327),9.415322e-01
np.float32(102949.03),32769.694420,np.float32(0.11011884),np.float64(-0.8191962353067697),9.293151e-01
np.float32(102949.04),32769.696907,np.float32(0.10235057),np.float64(-0.8146907083159968),9.170413e-01
np.float32(102949.05),32769.699394,np.float32(0.094576046),np.float64(-0.8101354568034591),9.047115e-01
np.float32(102949.055),32769.701880,np.float32(0.08679578),np.float64(-0.8055307587982306),8.923265e-01
np.float32(102949.06),32769.704367,np.float32(0.07901018),np.float64(-0.8008768953473436),8.798871e-01
np.float32(102949.07),32769.706854,np.float32(0.07121978),np.float64(-0.7961741504986366),8.673939e-01
np.float32(102949.08),32769.709341,np.float32(0.06342501),np.float64(-0.7914228112834161),8.548478e-01
np.float32(102949.086),32769.711827,np.float32(0.055626407),np.float64(-0.7866231676989386),8.422496e-01
np.float32(102949.09),32769.714314,np.float32(0.047824375),np.float64(-0.7817755126907102),8.295999e-01
np.float32(102949.1),32769.716801,np.float32(0.040019423),np.float64(-0.776880142134607),8.168996e-01
np.float32(102949.11),32769.719288,np.float32(0.03221205),np.float64(-0.7719373548188158),8.041494e-01
np.float32(102949.12),32769.721775,np.float32(0.024402697),np.float64(-0.7669474524255985),7.913501e-01
np.float32(102949.125),32769.724261,np.float32(0.016591867),np.float64(-0.7619107395128781),7.785026e-01
np.float32(102949.13),32769.726748,np.float32(0.008780011),np.float64(-0.7568275234956507),7.656075e-01
np.float32(102949.14),32769.729235,np.float32(0.0009676336),np.float64(-0.7516981146272224),7.526657e-01
np.float32(102949.15),32769.731722,np.float32(0.0),np.float64(-0.7465228259802721),7.465228e-01
np.float32(102949.16),32769.734209,np.float32(0.0),np.float64(-0.7413019734277446),7.413020e-01
np.float32(102949.164),32769.736695,np.float32(0.0),np.float64(-0.7360358756235706),7.360359e-01
np.float32(102949.17),32769.739182,np.float32(0.0),np.float64(-0.7307248539832174),7.307249e-01
np.float32(102949.18),32769.741669,np.float32(0.0),np.float64(-0.7253692326640719),7.253692e-01
np.float32(102949.19),32769.744156,np.float32(0.0),np.float64(-0.7199693385456557),7.199693e-01
np.float32(102949.195),32769.746643,np.float32(0.0),np.float64(-0.7145255012096735),7.145255e-01
np.float32(102949.2),32769.749129,np.float32(0.0),np.float64(-0.709038052919898),7.090381e-01
np.float32(102949.21),32769.751616,np.float32(0.0),np.float64(-0.7035073286018891),7.035073e-01
np.float32(102949.22),32769.754103,np.float32(0.0),np.float64(-0.697933665822553),6.979337e-01
np.float32(102949.23),32769.756590,np.float32(0.0),np.float64(-0.692317404769538),6.923174e-01
np.float32(102949.234),32769.759077,np.float32(0.0),np.float64(-0.6866588882304714),6.866589e-01
np.float32(102949.24),32769.761563,np.float32(0.0),np.float64(-0.6809584615720377),6.809585e-01
np.float32(102949.25),32769.764050,np.float32(0.0),np.float64(-0.6752164727188992),6.752165e-01
np.float32(102949.26),32769.766537,np.float32(0.0),np.float64(-0.66943327213246),6.694333e-01
np.float32(102949.266),32769.769024,np.float32(0.0),np.float64(-0.6636092127894763),6.636092e-01
np.float32(102949.27),32769.771511,np.float32(0.0),np.float64(-0.6577446501605121),6.577447e-01
np.float32(102949.28),32769.773997,np.float32(0.0),np.float64(-0.651839942188243),6.518399e-01
np.float32(102949.29),32769.776484,np.float32(0.0),np.float64(-0.6458954492656099),6.458954e-01
np.float32(102949.3),32769.778971,np.float32(0.0),np.float64(-0.6399115342138216),6.399115e-01
np.float32(102949.305),32769.781458,np.float32(0.0),np.float64(-0.6338885622602107),6.338886e-01
np.float32(102949.31),32769.783945,np.float32(0.0),np.float64(-0.6278269010159417),6.278269e-01
np.float32(102949.32),32769.786431,np.float32(0.0),np.float64(-0.6217269204535739),6.217269e-01
np.float32(102949.33),32769.788918,np.float32(0.0),np.float64(-0.6155889928844804),6.155890e-01
np.float32(102949.336),32769.791405,np.float32(0.0),np.float64(-0.6094134929361241),6.094135e-01
np.float32(102949.34),32769.793892,np.float32(0.0),np.float64(-0.6032007975291921),6.032008e-01
np.float32(102949.35),32769.796379,np.float32(0.0),np.float64(-0.5969512858545905),5.969513e-01
np.float32(102949.36),32769.798865,np.float32(0.0),np.float64(-0.5906653393503007),5.906653e-01
np.float32(102949.37),32769.801352,np.float32(0.0),np.float64(-0.5843433416780986),5.843433e-01
np.float32(102949.375),32769.803839,np.float32(0.0),np.float64(-0.5779856787001372),5.779857e-01
np.float32(102949.38),32769.806326,np.float32(0.0),np.float64(-0.571592738455396),5.715927e-01
np.float32(102949.39),32769.808813,np.float32(0.0),np.float64(-0.5651649111359973),5.651649e-01
np.float32(102949.4),32769.811299,np.float32(0.0),np.float64(-0.5587025890633903),5.587026e-01
np.float32(102949.41),32769.813786,np.float32(0.0),np.float64(-0.5522061666644063),5.522062e-01
np.float32(102949.414),32769.816273,np.float32(0.0),np.float64(-0.5456760404471847),5.456760e-01
np.float32(102949.42),32769.818760,np.float32(0.0),np.float64(-0.5391126089769722),5.391126e-01
np.float32(102949.43),32769.821247,np.float32(0.0),np.float64(-0.5325162728517969),5.325163e-01
np.float32(102949.44),32769.823733,np.float32(0.0),np.float64(-0.5258874346780168),5.258874e-01
np.float32(102949.445),32769.826220,np.float32(0.0),np.float64(-0.5192264990457478),5.192265e-01
np.float32(102949.45),32769.828707,np.float32(0.0),np.float64(-0.5125338725041693),5.125339e-01
np.float32(102949.46),32769.831194,np.float32(0.0),np.float64(-0.50580996353671),5.058100e-01
np.float32(102949.47),32769.833680,np.float32(0.0),np.float64(-0.4990551825361174),4.990552e-01
np.float32(102949.48),32769.836167,np.float32(0.0),np.float64(-0.4922699417794081),4.922699e-01
np.float32(102949.484),32769.838654,np.float32(0.0),np.float64(-0.48545465540270544),4.854547e-01
np.float32(102949.49),32769.841141,np.float32(0.0),np.float64(-0.4786097393759627),4.786097e-01
np.float32(102949.5),32769.843628,np.float32(0.0),np.float64(-0.4717356114775741),4.717356e-01
np.float32(102949.51),32769.846114,np.float32(0.0),np.float64(-0.46483269126887594),4.648327e-01
np.float32(102949.516),32769.848601,np.float32(0.0),np.float64(-0.45790140006853886),4.579014e-01
np.float32(102949.52),32769.851088,np.float32(0.0),np.float64(-0.4509421609268525),4.509422e-01
np.float32(102949.53),32769.853575,np.float32(0.0),np.float64(-0.4439553985999049),4.439554e-01
np.float32(102949.54),32769.856062,np.float32(0.0),np.float64(-0.4369415395236573),4.369415e-01
np.float32(102949.55),32769.858548,np.float32(0.0),np.float64(-0.429901011787917),4.299010e-01
np.float32(102949.555),32769.861035,np.float32(0.99988955),np.float64(-0.42283424511020873),1.422724e+00
np.float32(102949.56),32769.863522,np.float32(0.9999658),np.float64(-0.4157416708095471),1.415707e+00
np.float32(102949.57),32769.866009,np.float32(1.0),np.float64(-0.4086237217801109),1.408624e+00
np.float32(102949.58),32769.868496,np.float32(1.0),np.float64(-0.40148083246482164),1.401481e+00
np.float32(102949.586),32769.870982,np.float32(0.9998741),np.float64(-0.3943134388288273),1.394188e+00
np.float32(102949.59),32769.873469,np.float32(0.9997063),np.float64(-0.3871219783328933),1.386828e+00
np.float32(102949.6),32769.875956,np.float32(0.99951714),np.float64(-0.37990688990670224),1.379424e+00
np.float32(102949.61),32769.878443,np.float32(0.99925584),np.float64(-0.3726686139220636),1.371924e+00
np.float32(102949.62),32769.880930,np.float32(0.99892414),np.float64(-0.3654075921660361),1.364332e+00
np.float32(102949.625),32769.883416,np.float32(0.99853134),np.float64(-0.358124267813963),1.356656e+00
np.float32(102949.63),32769.885903,np.float32(0.99807763),np.float64(-0.3508190854024232),1.348897e+00
np.float32(102949.64),32769.888390,np.float32(0.99756294),np.float64(-0.3434924908020987),1.341055e+00
np.float32(102949.65),32769.890877,np.float32(0.9969874),np.float64(-0.33614493119056127),1.333132e+00
np.float32(102949.66),32769.893364,np.float32(0.99635106),np.float64(-0.3287768550249789),1.325128e+00
np.float32(102949.664),32769.895850,np.float32(0.9956538),np.float64(-0.3213887120147442),1.317043e+00
np.float32(102949.67),32769.898337,np.float32(0.9948959),np.float64(-0.3139809530940268),1.308877e+00
np.float32(102949.68),32769.900824,np.float32(0.9940772),np.float64(-0.30655403039425),1.300631e+00
np.float32(102949.69),32769.903311,np.float32(0.99319786),np.float64(-0.2991083972164958),1.292306e+00
np.float32(102949.695),32769.905798,np.float32(0.9922579),np.float64(-0.291644508003837),1.283902e+00
np.float32(102949.7),32769.908284,np.float32(0.9912573),np.float64(-0.28416281831360096),1.275420e+00
np.float32(102949.71),32769.910771,np.float32(0.9901963),np.float64(-0.27666378478956427),1.266860e+00
np.float32(102949.72),32769.913258,np.float32(0.98907477),np.float64(-0.26914786513408184),1.258223e+00
np.float32(102949.73),32769.915745,np.float32(0.9878929),np.float64(-0.2616155180801509),1.249508e+00
np.float32(102949.734),32769.918232,np.float32(0.9866508),np.float64(-0.2540672033634125),1.240718e+00
np.float32(102949.74),32769.920718,np.float32(0.98534846),np.float64(-0.24650338169409144),1.231852e+00
np.float32(102949.75),32769.923205,np.float32(0.98398596),np.float64(-0.23892451472887713),1.222910e+00
np.float32(102949.76),32769.925692,np.float32(0.9825634),np.float64(-0.23133106504274617),1.213894e+00
np.float32(102949.766),32769.928179,np.float32(0.98108083),np.float64(-0.2237234961007293),1.204804e+00
np.float32(102949.77),32769.930666,np.float32(0.97953844),np.float64(-0.21610227222962392),1.195641e+00
np.float32(102949.78),32769.933152,np.float32(0.9779362),np.float64(-0.20846785858965386),1.186404e+00
np.float32(102949.79),32769.935639,np.float32(0.9762744),np.float64(-0.20082072114607846),1.177095e+00
np.float32(102949.8),32769.938126,np.float32(0.97455287),np.float64(-0.19316132664075253),1.167714e+00
np.float32(102949.805),32769.940613,np.float32(0.97277194),np.float64(-0.18549014256363866),1.158262e+00
np.float32(102949.81),32769.943100,np.float32(0.9709316),np.float64(-0.1778076371242742),1.148739e+00
np.float32(102949.82),32769.945586,np.float32(0.969032),np.float64(-0.17011427922319405),1.139146e+00
np.float32(102949.83),32769.948073,np.float32(0.96707326),np.float64(-0.16241053842331146),1.129484e+00
np.float32(102949.836),32769.950560,np.float32(0.9650555),np.float64(-0.15469688492125835),1.119752e+00
np.float32(102949.84),32769.953047,np.float32(0.96297884),np.float64(-0.14697378951868678),1.109953e+00
np.float32(102949.85),32769.955533,np.float32(0.9608434),np.float64(-0.1392417235935339),1.100085e+00
np.float32(102949.86),32769.958020,np.float32(0.95864934),np.float64(-0.13150115907125118),1.090150e+00
np.float32(102949.87),32769.960507,np.float32(0.9563967),np.float64(-0.12375256839600074),1.080149e+00
np.float32(102949.875),32769.962994,np.float32(0.95408577),np.float64(-0.11599642450181968),1.070082e+00
np.float32(102949.88),32769.965481,np.float32(0.9517166),np.float64(-0.10823320078375467),1.059950e+00
np.float32(102949.89),32769.967967,np.float32(0.94928926),np.float64(-0.10046337106896834),1.049753e+00
np.float32(102949.9),32769.970454,np.float32(0.94680405),np.float64(-0.09268740958781926),1.039491e+00
np.float32(102949.91),32769.972941,np.float32(0.944261),np.float64(-0.0849057909449175),1.029167e+00
np.float32(102949.914),32769.975428,np.float32(0.9416604),np.float64(-0.07711899009015706),1.018779e+00
np.float32(102949.92),32769.977915,np.float32(0.9390023),np.float64(-0.06932748228972746),1.008330e+00
np.float32(102949.93),32769.980401,np.float32(0.93628687),np.float64(-0.06153174309710592),9.978186e-01
np.float32(102949.94),32769.982888,np.float32(0.93351424),np.float64(-0.05373224832403204),9.872465e-01
np.float32(102949.945),32769.985375,np.float32(0.9306847),np.float64(-0.0459294740114667),9.766142e-01
np.float32(102949.95),32769.987862,np.float32(0.92779833),np.float64(-0.03812389640053694),9.659222e-01
np.float32(102949.96),32769.990349,np.float32(0.92485535),np.float64(-0.030315991903468707),9.551713e-01
np.float32(102949.97),32769.992835,np.float32(0.9218559),np.float64(-0.022506237074509074),9.443622e-01
np.float32(102949.98),32769.995322,np.float32(0.91880023),np.float64(-0.01469510858083984),9.334953e-01
np.float32(102949.984),32769.997809,np.float32(0.91568846),np.float64(-0.006883083173484218),9.225715e-01
np.float32(102949.99),32770.000296,np.float32(0.91252077),np.float64(0.0009293623417915935),9.115914e-01
np.float32(102950.0),32770.002783,np.float32(0.9092974),np.float64(0.008741751133580172),9.005557e-01
np.float32(102950.01),32770.005269,np.float32(0.90601856),np.float64(0.016553606373936207),8.894649e-01
np.float32(102950.016),32770.007756,np.float32(0.9026844),np.float64(0.02436445126747961),8.783199e-01
np.float32(102950.02),32770.010243,np.float32(0.89929515),np.float64(0.03217380908049666),8.671213e-01
np.float32(102950.03),32770.012730,np.float32(0.89585096),np.float64(0.03998120317003738),8.558698e-01
np.float32(102950.04),32770.015217,np.float32(0.89235216),np.float64(0.04778615701300732),8.445660e-01
np.float32(102950.05),32770.017703,np.float32(0.8887989),np.float64(0.05558819423525213),8.332107e-01
np.float32(102950.055),32770.020190,np.float32(0.8851914),np.float64(0.06338683864063295),8.218045e-01
np.float32(102950.06),32770.022677,np.float32(0.88152975),np.float64(0.07118161424009097),8.103481e-01
np.float32(102950.07),32770.025164,np.float32(0.8778144),np.float64(0.07897204528069934),7.988424e-01
np.float32(102950.08),32770.027651,np.float32(0.87404543),np.float64(0.08675765627470074),7.872878e-01
np.float32(102950.086),32770.030137,np.float32(0.87022316),np.float64(0.0945379720285286),7.756852e-01
np.float32(102950.09),32770.032624,np.float32(0.86634773),np.float64(0.10231251767181052),7.640352e-01
np.float32(102950.1),32770.035111,np.float32(0.8624195),np.float64(0.11008081868635192),7.523387e-01
np.float32(102950.11),32770.037598,np.float32(0.85843855),np.float64(0.1178424009350982),7.405962e-01
np.float32(102950.12),32770.040085,np.float32(0.8544052),np.float64(0.12559679069107355),7.288084e-01
np.float32(102950.125),32770.042571,np.float32(0.85031974),np.float64(0.13334351466629488),7.169762e-01
np.float32(102950.13),32770.045058,np.float32(0.8461824),np.float64(0.1410821000406588),7.051003e-01
np.float32(102950.14),32770.047545,np.float32(0.8419934),np.float64(0.14881207449080022),6.931813e-01
np.float32(102950.15),32770.050032,np.float32(0.837753),np.float64(0.15653296621892046),6.812200e-01
np.float32(102950.16),32770.052519,np.float32(0.83346146),np.float64(0.16424430398158338),6.692172e-01
np.float32(102950.164),32770.055005,np.float32(0.8291191),np.float64(0.17194561711847767),6.571735e-01
np.float32(102950.17),32770.057492,np.float32(0.82472605),np.float64(0.17963643558114345),6.450896e-01
np.float32(102950.18),32770.059979,np.float32(0.8202827),np.float64(0.18731628996166172),6.329664e-01
np.float32(102950.19),32770.062466,np.float32(0.8157893),np.float64(0.19498471152130453),6.208046e-01
np.float32(102950.195),32770.064953,np.float32(0.8112461),np.float64(0.20264123221914437),6.086049e-01
np.float32(102950.2),32770.067439,np.float32(0.8066534),np.float64(0.21028538474062103),5.963680e-01
np.float32(102950.21),32770.069926,np.float32(0.80201143),np.float64(0.21791670252606396),5.840947e-01
np.float32(102950.22),32770.072413,np.float32(0.79732054),np.float64(0.22553471979916886),5.717858e-01
np.float32(102950.23),32770.074900,np.float32(0.79258096),np.float64(0.23313897159542607),5.594420e-01
np.float32(102950.234),32770.077387,np.float32(0.78779304),np.float64(0.2407289937904997),5.470640e-01
np.float32(102950.24),32770.079873,np.float32(0.782957),np.float64(0.24830432312855538),5.346527e-01
np.float32(102950.25),32770.082360,np.float32(0.7780732),np.float64(0.255864497250535),5.222087e-01
np.float32(102950.26),32770.084847,np.float32(0.77314186),np.float64(0.26340905472237675),5.097328e-01
np.float32(102950.266),32770.087334,np.float32(0.7681634),np.float64(0.27093753506317864),4.972258e-01
np.float32(102950.27),32770.089820,np.float32(0.763138),np.float64(0.27844947877330384),4.846885e-01
