function,wmean_ulp_pi,max_ulp_pi,mean_abs_100pi,max_abs_100pi,max_abs_2pi
native_sin,11.308897,16777215.0,3.674448293e-08,3.441471748e-05,3.441432175e-05
native_cos,12.129374,12303662.5,4.603920779e-07,3.441566567e-05,3.441566567e-05
std_sin,0.311288,1.8,1.196347680e-09,1.258686216e-07,1.258686216e-07
std_cos,0.357381,1.8,3.852007340e-09,1.258741253e-07,1.258741253e-07
