x,native_cos,std_cos
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794343948364258e+00,2.026588845183141530e-06,1.982846470127697103e-06
1.570794463157653809e+00,1.907377736642956734e-06,1.863637294263753574e-06
