signal,mode,mean_abs_error,mean_rel_error,recon_mse
random,fast,6.455677025272203e-05,5.042483268478825e-07,5.510630624876093e-13
random,lut,1.8360766721239084e-05,1.8899725162233019e-07,3.7289437643035807e-14
sine,fast,3.497823757925862e-07,86901.73662479877,2.669902866545217e-14
sine,lut,1.2136597923099897e-07,46392.591558471366,2.3092034153039094e-15
sine_sum,fast,5.3333557480208044e-06,1068404.5296349446,1.0597142876085298e-13
sine_sum,lut,4.32621297060404e-06,886494.8283609602,5.239443677124866e-15
